136,*,840
137,*,1740
138,*,1860
139,*,1240
140,*,920
141,*,840
142,*,2000
143,*,1320
144,*,840
145,*,2160
146,*,1740
147,*,1510
148,*,1510
149,*,1740
150,*,1620
151,*,?
152,*,2340
153,*,1620
154,*,1410
155,*,2160
156,*,2000
157,*,1510
158,*,1510
159,*,1860
160,*,1620
161,*,1620
162,,1510
163,*,1740
164,*,2000
165,*,1510
166,*,1860
167,*,2160
168,*,2000
169,*,1860
170,*,1860
