2,124-,0-,31+
14,41+,57-,17-
16,125-,19-,55-
17,35-,41+,14+
19,57-,16+,93+
26,0-,124+,0-
31,55+,35+,2-
35,17+,31-,57+
41,14-,17-,52+
52,93+,125-,41-
55,31-,93+,16+
57,19+,14+,35-
93,52-,55-,19-
124,2+,26-,125+
125,16+,52+,124-
